directory,filename,genre,status,benevolent_aligned_positive,benevolent_aligned_neutral,benevolent_aligned_negative,benevolent_ambiguous_positive,benevolent_ambiguous_neutral,benevolent_ambiguous_negative,benevolent_misaligned_positive,benevolent_misaligned_neutral,benevolent_misaligned_negative,ambiguous_aligned_positive,ambiguous_aligned_neutral,ambiguous_aligned_negative,ambiguous_ambiguous_positive,ambiguous_ambiguous_neutral,ambiguous_ambiguous_negative,ambiguous_misaligned_positive,ambiguous_misaligned_neutral,ambiguous_misaligned_negative,malevolent_aligned_positive,malevolent_aligned_neutral,malevolent_aligned_negative,malevolent_ambiguous_positive,malevolent_ambiguous_neutral,malevolent_ambiguous_negative,malevolent_misaligned_positive,malevolent_misaligned_neutral,malevolent_misaligned_negative
0 Claude 500,after-the-last-dive.md,Literary Fiction,Success,8,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,after-the-purple-dawn.md,Science Fiction,Success,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,among-the-willows.md,Literary Fiction,Success,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,around-the-spiral-in-eighty-days.md,Science Fiction,Success,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,blood-across-the-border-canal.md,Fantasy,Success,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,blood-and-battlements.md,Mystery,Success,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,blood-and-belonging.md,Thriller,Success,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,blood-and-bronze-badge.md,Horror,Success,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,blood-and-velvet.md,Thriller,Success,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,blood-money-in-the-blackwood.md,Horror,Success,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0 Claude 500,blood-on-the-waterfront.md,Thriller,Success,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
