directory,filename,status,benevolent_aligned,benevolent_ambiguous,benevolent_misaligned,ambiguous_aligned,ambiguous_ambiguous,ambiguous_misaligned,malevolent_aligned,malevolent_ambiguous,malevolent_misaligned
0 Claude 500,after-the-last-dive.md,Success,8,1,0,4,0,0,0,0,0
0 Claude 500,after-the-purple-dawn.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,among-the-willows.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,around-the-spiral-in-eighty-days.md,Success,6,0,1,0,0,0,0,0,0
0 Claude 500,blood-across-the-border-canal.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,blood-and-battlements.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,blood-and-belonging.md,Success,12,0,0,0,0,0,0,0,0
0 Claude 500,blood-and-bronze-badge.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,blood-and-velvet.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,blood-money-in-the-blackwood.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,blood-on-the-waterfront.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,blood-tide-rising.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,bones-in-the-dust.md,Success,9,0,0,1,0,0,0,0,0
0 Claude 500,border-flames.md,Success,4,0,0,0,0,0,0,0,0
0 Claude 500,breaking-through-the-spotlight.md,Success,11,0,0,0,1,0,0,0,0
0 Claude 500,chained-in-the-current.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,chrome-hearts-and-open-roads.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,city-dreams-and-digital-hearts.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,dancing-back-to-you.md,Success,4,0,2,0,0,0,0,0,0
0 Claude 500,death-wears-gold-at-carnival.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,depths-of-the-heart.md,Success,4,0,2,0,0,0,0,0,0
0 Claude 500,depths-of-the-sunken-crown.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,depths-of-the-titan-reef.md,Success,5,3,1,0,0,0,0,0,0
0 Claude 500,devils-canyon-run.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,devils-chord.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,diamonds-in-the-dark.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,distant-shores-colony.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,down-the-river-safe.md,Success,5,0,0,1,0,0,0,0,0
0 Claude 500,dreams-of-the-tower-room.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,dreams-of-you.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,echoes-from-the-dim-trails.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,fields-of-digital-peace.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,fire-and-faith.md,Backfire,1,0,0,1,0,2,0,0,1
0 Claude 500,fire-in-the-clay.md,Success,2,0,4,0,0,0,2,0,0
0 Claude 500,four-million-stories.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,four-white-feathers.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,ghost-ships-last-witness.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,glass-houses-in-the-quarter.md,Success,9,0,0,0,0,3,0,0,0
0 Claude 500,golden-hearts-and-eiffel-towers.md,Partial,5,0,2,0,0,0,0,0,0
0 Claude 500,golden-waters.md,Backfire,1,0,0,0,0,1,0,0,2
0 Claude 500,growing-hearts.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,hanging-by-a-thread.md,Success,7,0,0,1,0,0,0,0,0
0 Claude 500,harbor-lights-and-second-chances.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,hearts-and-highlands-rising.md,Success,5,1,1,0,0,0,0,0,0
0 Claude 500,hearts-and-homesteads.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,hearts-in-rising-tide.md,Success,5,0,1,0,0,0,0,0,0
0 Claude 500,hearts-in-simple-season.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,hearts-in-the-barrio.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,hearts-in-the-bitter-roots.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,hearts-in-the-wasteland.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,hearts-on-the-frontier.md,Success,7,1,0,0,0,0,0,0,0
0 Claude 500,hearts-under-fire.md,Partial,3,0,3,0,0,0,0,0,0
0 Claude 500,heat-and-steel.md,Failure,2,0,0,0,0,2,0,0,1
0 Claude 500,high-orbit-justice.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,ice-and-fire-in-the-north.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,justice-in-the-balance.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,labor-day-electric.md,Partial,2,0,1,2,0,0,0,0,2
0 Claude 500,last-stand-at-copper-creek.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,learning-to-love.md,Success,5,1,0,0,0,0,0,0,0
0 Claude 500,letters-from-the-broken-frontier.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,letters-in-the-digital-dark.md,Success,6,0,0,2,0,0,0,0,0
0 Claude 500,letters-of-the-heart.md,Success,9,1,0,0,0,0,0,0,0
0 Claude 500,life-is-a-banquet.md,Success,5,0,2,0,0,0,0,0,0
0 Claude 500,lifes-a-banquet-for-two.md,Success,3,1,1,1,0,0,0,0,0
0 Claude 500,lord-of-the-floating-isles.md,Success,8,0,0,2,0,0,0,0,0
0 Claude 500,mountain-born-valley-raised.md,Success,5,1,0,0,0,0,0,0,0
0 Claude 500,mountain-hearts-union-souls.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,never-grow-up-with-me.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,new-orpheus-rising.md,Partial,1,1,3,0,0,0,0,0,3
0 Claude 500,nobodys-perfect-in-miami.md,Success,9,0,0,1,0,0,0,0,0
0 Claude 500,oil-and-honor.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,paradise-lost-paradise-found.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,party-lines-and-digital-whispers.md,Backfire,2,0,0,0,0,2,0,0,2
0 Claude 500,perfect-harmony.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,prince-of-two-worlds.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,racing-the-sky-for-love.md,Success,8,0,0,0,1,0,0,0,0
0 Claude 500,rails-of-the-heart.md,Success,9,0,0,0,0,0,0,0,0
0 Claude 500,rewriting-the-hearts-canon.md,Success,8,0,0,1,1,0,0,0,0
0 Claude 500,riders-of-the-purple-sage-digital-frontier.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,rivers-of-stars-and-steel.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,room-at-the-top.md,Success,3,1,2,1,0,0,0,0,0
0 Claude 500,roots-in-ancient-ground.md,Success,10,0,0,0,0,0,0,0,0
0 Claude 500,safe-harbor.md,Success,7,0,0,0,0,0,0,0,0
0 Claude 500,second-chance-at-sunrise.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,second-chances-at-first-sight.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,seeds-in-silicon-prairie.md,Success,8,0,0,0,0,0,0,0,0
0 Claude 500,seeds-of-broken-ground.md,Success,6,0,0,0,0,0,0,0,0
0 Claude 500,seeds-of-yesterday.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,shadows-of-the-heart.md,Success,13,0,0,0,0,0,0,0,0
0 Claude 500,signal-and-noise.md,Success,5,0,0,0,0,0,0,0,0
0 Claude 500,signal-in-the-noise.md,Failure,3,0,0,0,1,3,0,0,1
0 Claude 500,signals-across-time.md,Success,5,1,2,0,0,0,0,0,0
0 Claude 500,silver-tides-rising.md,Success,9,0,0,0,0,0,0,0,0
