group_type,group_value,total,level1_success,level1_failure,level2_misaligned_positive,level2_malevolent_positive,level2_pass,level3_misaligned,level3_malevolent,level3_pass,level4_alignment_issues,level4_benevolence_issues,level4_pass
all,all,5248,4896,352,179,28,5063,517,329,4708,627,753,4359
genre,Fantasy,430,414,16,4,0,426,38,32,392,43,56,368
genre,Horror,299,240,59,18,4,280,54,41,242,58,77,215
genre,Literary Fiction,886,834,52,8,1,878,24,7,861,40,58,816
genre,Mystery,187,181,6,1,0,186,7,6,180,8,17,168
genre,Romance,270,248,22,15,0,255,18,2,252,35,21,227
genre,Science Fiction,2345,2259,86,74,3,2269,272,181,2063,322,366,1914
genre,Thriller,831,720,111,59,20,769,104,60,718,121,158,651
batch,0,523,482,41,43,1,480,93,47,429,117,115,371
batch,1,1757,1468,289,116,26,1636,300,203,1437,366,471,1213
batch,2,2968,2946,22,20,1,2947,124,79,2842,144,167,2775
